fornecedor,total,porte,quantidade,percentual
42852532000105,1,ME,0,0.0
42852532000105,1,EPP,1,100.0
42852532000105,1,Demais Empresas,0,0.0
42852532000105,1,Não se aplica,0,0.0
42852532000105,1,Não informado,0,0.0
43262855000101,1,MEI,0,0.0
43262855000101,1,ME,1,100.0
43262855000101,1,EPP,0,0.0
43262855000101,1,Demais Empresas,0,0.0
43262855000101,1,Não se aplica,0,0.0
43262855000101,1,Não informado,0,0.0
43752662000120,1,MEI,0,0.0
43752662000120,1,ME,0,0.0
43752662000120,1,EPP,1,100.0
43752662000120,1,Demais Empresas,0,0.0
43752662000120,1,Não se aplica,0,0.0
43752662000120,1,Não informado,0,0.0
46727574120,1,MEI,0,0.0
46727574120,1,ME,0,0.0
46727574120,1,EPP,0,0.0
46727574120,1,Demais Empresas,1,100.0
46727574120,1,Não se aplica,0,0.0
46727574120,1,Não informado,0,0.0
50324245000142,10,MEI,0,0.0
50324245000142,10,ME,10,100.0
50324245000142,10,EPP,0,0.0
50324245000142,10,Demais Empresas,0,0.0
50324245000142,10,Não se aplica,0,0.0
50324245000142,10,Não informado,0,0.0
50416175000152,1,MEI,0,0.0
50416175000152,1,ME,0,0.0
50416175000152,1,EPP,0,0.0
50416175000152,1,Demais Empresas,1,100.0
50416175000152,1,Não se aplica,0,0.0
50416175000152,1,Não informado,0,0.0
50595271000105,3,MEI,0,0.0
50595271000105,3,ME,0,0.0
50595271000105,3,EPP,0,0.0
50595271000105,3,Demais Empresas,3,100.0
50595271000105,3,Não se aplica,0,0.0
50595271000105,3,Não informado,0,0.0
51158968000181,2,MEI,0,0.0
51158968000181,2,ME,2,100.0
51158968000181,2,EPP,0,0.0
51158968000181,2,Demais Empresas,0,0.0
51158968000181,2,Não se aplica,0,0.0
51158968000181,2,Não informado,0,0.0
52006170000187,5,MEI,0,0.0
52006170000187,5,ME,0,0.0
52006170000187,5,EPP,0,0.0
52006170000187,5,Demais Empresas,5,100.0
