compra,item,resultado,municipio_ibge,municipio,periodo,orgao,modalidade,fornecedor,tipo_pessoa,data_resultado,porte_id_original,porte_nome_original,porte,motivo
07974082000114-1-000005/2025,5,1,2307304,Juazeiro do Norte,2025-01,07974082000114,6,04230084000100,PJ,2025-04-08,5,Não Informado,Não informado,codigo_5
07974082000114-1-000005/2025,7,1,2307304,Juazeiro do Norte,2025-01,07974082000114,6,04230084000100,PJ,2025-04-08,5,Não Informado,Não informado,codigo_5
07974082000114-1-000004/2025,1,1,2307304,Juazeiro do Norte,2025-01,07974082000114,8,03648344000108,PJ,2025-01-15,3,Demais,Demais Empresas,valido
07974082000114-1-000013/2025,1,1,2307304,Juazeiro do Norte,2025-01,07974082000114,8,08381236000127,PJ,2025-01-28,3,Demais,Demais Empresas,valido
07974082000114-1-000003/2025,1,1,2307304,Juazeiro do Norte,2025-01,07974082000114,9,01252870000110,PJ,2025-01-15,1,ME,ME,valido
07974082000114-1-000011/2025,1,1,2307304,Juazeiro do Norte,2025-01,07974082000114,9,07974082000114,PJ,2025-01-24,3,Demais,Demais Empresas,valido
10744098000145-1-000067/2025,2,1,2307304,Juazeiro do Norte,2025-05,10744098000145,6,03637812000130,PJ,2025-06-06,3,Demais,Demais Empresas,valido
10744098000145-1-000067/2025,7,1,2307304,Juazeiro do Norte,2025-05,10744098000145,6,02425466000164,PJ,2025-06-06,3,Demais,Demais Empresas,valido
10744098000145-1-000067/2025,1,1,2307304,Juazeiro do Norte,2025-05,10744098000145,6,32996276000168,PJ,2025-06-06,1,ME,ME,valido
10744098000145-1-000067/2025,4,1,2307304,Juazeiro do Norte,2025-05,10744098000145,6,03637812000130,PJ,2025-06-06,3,Demais,Demais Empresas,valido
10744098000145-1-000067/2025,6,1,2307304,Juazeiro do Norte,2025-05,10744098000145,6,03637812000130,PJ,2025-06-06,3,Demais,Demais Empresas,valido
07954480000179-1-005771/2025,4,1,2307304,Juazeiro do Norte,2025-05,07954480000179,8,50324245000142,PJ,2025-05-14,1,ME,ME,valido
07954480000179-1-005771/2025,7,1,2307304,Juazeiro do Norte,2025-05,07954480000179,8,50324245000142,PJ,2025-05-14,1,ME,ME,valido
07954480000179-1-005771/2025,2,1,2307304,Juazeiro do Norte,2025-05,07954480000179,8,50324245000142,PJ,2025-05-14,1,ME,ME,valido
07954480000179-1-005771/2025,1,1,2307304,Juazeiro do Norte,2025-05,07954480000179,8,50324245000142,PJ,2025-05-14,1,ME,ME,valido
07954480000179-1-005771/2025,3,1,2307304,Juazeiro do Norte,2025-05,07954480000179,8,50324245000142,PJ,2025-05-14,1,ME,ME,valido
11436747000103-1-000012/2025,11,1,2307304,Juazeiro do Norte,2025-05,11436747000103,8,52006170000187,PJ,2025-05-06,3,Demais,Demais Empresas,valido
11436747000103-1-000012/2025,6,1,2307304,Juazeiro do Norte,2025-05,11436747000103,8,52006170000187,PJ,2025-05-06,3,Demais,Demais Empresas,valido
11436747000103-1-000012/2025,19,1,2307304,Juazeiro do Norte,2025-05,11436747000103,8,52006170000187,PJ,2025-05-06,3,Demais,Demais Empresas,valido
11436747000103-1-000012/2025,20,1,2307304,Juazeiro do Norte,2025-05,11436747000103,8,52006170000187,PJ,2025-05-06,3,Demais,Demais Empresas,valido
11436747000103-1-000012/2025,7,1,2307304,Juazeiro do Norte,2025-05,11436747000103,8,52006170000187,PJ,2025-05-06,3,Demais,Demais Empresas,valido
18621825000199-1-000007/2025,1,1,2307304,Juazeiro do Norte,2025-05,18621825000199,9,12465165000118,PJ,2025-05-21,3,Demais,Demais Empresas,valido
07974082000114-1-000065/2025,1,1,2307304,Juazeiro do Norte,2025-05,07974082000114,9,26361026000159,PJ,2025-05-16,3,Demais,Demais Empresas,valido
07974082000114-1-000130/2025,1,1,2307304,Juazeiro do Norte,2025-09,07974082000114,6,24334945000108,PJ,2025-10-24,3,Demais,Demais Empresas,valido
07974082000114-1-000130/2025,3,1,2307304,Juazeiro do Norte,2025-09,07974082000114,6,10394436000166,PJ,2025-10-24,3,Demais,Demais Empresas,valido
07974082000114-1-000130/2025,2,1,2307304,Juazeiro do Norte,2025-09,07974082000114,6,24334945000108,PJ,2025-10-24,3,Demais,Demais Empresas,valido
07974082000114-1-000130/2025,4,1,2307304,Juazeiro do Norte,2025-09,07974082000114,6,10394436000166,PJ,2025-10-24,3,Demais,Demais Empresas,valido
07974082000114-1-000128/2025,2,1,2307304,Juazeiro do Norte,2025-09,07974082000114,6,61100244000130,PJ,2025-10-17,3,Demais,Demais Empresas,valido
07974082000114-1-000128/2025,3,1,2307304,Juazeiro do Norte,2025-09,07974082000114,6,32593430000150,PJ,2025-10-17,1,ME,ME,valido
07974082000114-1-000128/2025,1,1,2307304,Juazeiro do Norte,2025-09,07974082000114,6,09485574000171,PJ,2025-10-17,3,Demais,Demais Empresas,valido
07954480000179-1-017018/2025,11,1,2307304,Juazeiro do Norte,2025-09,07954480000179,8,50324245000142,PJ,2026-02-24,1,ME,ME,valido
07954480000179-1-017018/2025,4,1,2307304,Juazeiro do Norte,2025-09,07954480000179,8,50324245000142,PJ,2026-02-24,1,ME,ME,valido
07954480000179-1-017018/2025,2,1,2307304,Juazeiro do Norte,2025-09,07954480000179,8,50324245000142,PJ,2026-02-24,1,ME,ME,valido
07954480000179-1-017018/2025,10,1,2307304,Juazeiro do Norte,2025-09,07954480000179,8,50324245000142,PJ,2026-02-24,1,ME,ME,valido
07954480000179-1-017018/2025,5,1,2307304,Juazeiro do Norte,2025-09,07954480000179,8,50324245000142,PJ,2026-02-24,1,ME,ME,valido
07954480000179-1-019131/2025,1,1,2307304,Juazeiro do Norte,2025-09,07954480000179,8,63560007000188,PJ,2025-10-01,1,ME,ME,valido
07974082000114-1-000135/2025,1,1,2307304,Juazeiro do Norte,2025-09,07974082000114,9,50416175000152,PJ,2025-09-30,3,Demais,Demais Empresas,valido
